id_a,company_name_a,id_b,company_name_b,best_match_score
342936,veolia industries,320886,veolia industries global solutions,0.16607514833890777
95096,engie france,333974,engie,0.16557396960213433
203547,direction generale de la cohesion sociale,71421,direction des achats de l etat (dae),0.16469941746600833
342433,bnp paribas corporate & institutional banking,317707,bnp paribas global banking,0.16423679407480973
311971,université de genève,176664,université de lyon,0.16368189990355864
236531,carrefour argentine,353029,carrefour,0.1631849366318949
322251,groupama,321822,groupama support,0.16242186700600994
179419,diot s a,181610,mappy s. a.,0.16203585499098183
256692,lanvin,319866,lanvin,0.16184458602442117
104803,deindeal,423799,deindeal,0.16119157468162273
352587,aircall,99628,aircall,0.16119157468162273
166972,starters united,2389,starters united,0.16102700764405256
19266,direction générale de la cohésion sociale,250034,ministère des solidarités et de la santé,0.1598593953818087
186,dupont café (parent),136916,dupont café,0.15867592179364587
108803,fermier gourmet,3658,fermier gourmet,0.15819548638217035
104845,camping&co,412657,camping and co,0.15815156371008218
6446,la ferme de charles,132714,la ferme de charles,0.15782432565159715
71666,jobmania,187863,ccld recrutement,0.15687773780564498
194258,freska,56196,freska,0.15508714281659391
190299,progressive recruitment france,76287,progressive computer recruitment ltd,0.15409279060911477
320418,united technologies,173358,adneom technologies,0.1525760990280391
288677,boulangerie ange,8218,boulangerie ange tinqueux,0.15103362351886934
317716,legrand france,342864,legrand,0.1503175367286066
317834,cea,343491,cea,0.14876350024657625
113965,bio burger,8493,bio burger (parent),0.1484402630291104
343810,armatis lc,321505,armatis france,0.1455849150145578
130604,le balsamo,683,balsamo,0.14390110168567857
81272,dr. babor gmbh & co. kg,415279,dr babor gmbh & co kg,0.14383056536223196
98087,study technologies,173358,adneom technologies,0.1433048354651247
330320,dalkia,5524,dalkia,0.14124817381726804
320115,sartorius stedim biotech,323282,sartorius stedim biotech,0.1395812215253122
423571,sephora  lvmh,179009,lvmh,0.13920088261901917
40104,multiposting,176234,multiposting,0.13813222591440139
174283,keyrus management,60970,square management,0.1366101565020634
19464,harwell management,60970,square management,0.1366101565020634
350153,right management,60970,square management,0.1358470868761784
2613,la boutarde,131476,la boutarde,0.13570129863266894
343912,nissan,322158,nissan motor corporation,0.13544865369937253
90327,deloitte (russia),101734,microsoft (russia),0.13544865369937253
318089,printemps,352712,printemps,0.13517667835356656
99675,big fernand,16539,big fernand,0.135161856703748
213282,argedis,63107,argedis,0.13476685001944247
343394,scor se,317747,scor france,0.13358633471155354
330615,balzac paris,85074,balzac paris,0.13144739624092946
46430,darva,172736,darva,0.13064101656108923
345192,famoco,23217,famoco.com,0.12992242243763263
225277,pôle emploi 88,317666,pole emploi,0.12938487177025815
351981,auchan,350959,decathlon,0.12872401761833088
252989,auchan,8371,auchan france,0.12605766603353624
44930,maison du monde,331411,la maison du whisky,0.12588326762479976
73819,carewan,177996,carewan,0.12438560845158016
179466,fdj,30570,fdj,0.1226934175315782
331138,accor hotels group,331178,renaultnissanmitsubishi,0.12167551634175672
317636,cegid,342795,cegid,0.1195259727129102
96234,microsoft (india),101484,microsoft (france),0.11852698612906293
342957,heineken,317989,heineken france,0.11850945308062907
101108,talentsoft (partner account),100844,hudson (partner account),0.11614040833013925
1675,relais christine,98,le christine,0.11484326978627289
343690,sodexo,320942,sodexo france,0.11440688097113648
14204,eurotoll,182633,eurotoll,0.11105925669501478
85182,bigmat,330950,bigmat,0.11033544876025626
207503,rexel france,317831,rexel,0.11018020397340908
318062,rexel france,317831,rexel,0.11018020397340908
81986,arenal,106052,arenal,0.1089904369985719
172327,hudson,100844,hudson (partner account),0.10898380311381001
85797,coty,103976,coty inc,0.10667475326017727
99136,content square,60970,square management,0.10610872375885938
265234,triskalia,253883,triskalia,0.10500428207171766
194248,agence régionale de santé iledefrance,250034,ministère des solidarités et de la santé,0.10439783802751634
344281,sodiaal international,173590,sodiaal,0.10427071981690843
105643,stradivarius,84073,stradivarius,0.10345367861523204
80085,dior,81037,christian dior parfums,0.10275761023179886
342314,virbac,320479,virbac,0.10245797914225753
330801,boulanger (groupe mulliez),330910,nocibe,0.09950630634929943
317642,veolia group,172687,campus veolia,0.09789757104554396
344880,cnav,317794,cnav,0.09658827050706816
30083,le slip français,372470,le jacquard français,0.0948650522120346
116692,au loup,6599,au loup,0.09477369949138605
175113,arte,146928,del arte,0.09378338496548584
33523,ovh ltd,247636,ovh ltd,0.09319011039927284
317594,merck msd,309912,merck group,0.09279489912731748
344823,avem,321224,avem,0.09242364595345817
310222,bnp paribas suisse,321717,bnp paribas ifs,0.09192341173407367
322029,bnp paribas asset management,321717,bnp paribas ifs,0.09078036688398039
180955,netapsys conseil,92253,netapsys,0.09077267909530941
320351,credit agricole normandieseine,184624,credit agricole nord de france,0.08762384663785844
179768,hachette,368179,hachette livre,0.08745728705891083
318267,carrefour banque et assurances,79874,carrefour banque,0.087031204849849
318004,xpo logistics supply chain,344127,xpo logistics,0.08590376500549841
95646,volvo,180047,volvo trucks  ns,0.08550496857305251
311066,mango,96551,mango,0.08511172452353852
251874,lagardère,80100,groupe lagardere active,0.08378366867043092
32573,the adecco group uk and ireland,187330,the adecco group,0.08289569785844463
180097,a la lucarne de l immobilier,71204,a la lucarne de l immobilier,0.08191321104688264
84494,truffaut,331470,truffaut,0.08189370412848142
133668,restaurant le bellevue,1969,le bellevue,0.08186711943458747
41746,pénélope groupe,93526,penelope,0.0817855375355166
2068,bistrot m,3013,bistrot victoires,0.08124294521022488
12283,ikks,367562,ikks,0.08099119799899253
55185,flexico,176384,flexico,0.08095919861117187
80410,verdecora,104947,verdecora,0.07921474882595
21427,butagaz,175159,butagaz,0.07632603628437427
71129,insign,307044,insign,0.0758860831767263
343312,bnp paribas inspection générale,321717,bnp paribas ifs,0.07340783503152283
245154,bnp paribas corporate services,351595,bnp paribas,0.07270031825454575
176916,jamf,219856,amf,0.07263707761696689
355715,grandvision nv,319490,colruyt nv,0.07130601083064314
182618,lagardere pub,175598,lagardere active,0.07054383077117228
331405,jardiland,104070,jardiland,0.06891588362812678
84258,fab design,172957,cadence design systems,0.06887131622877375
352087,restaurants la boucherie (groupe),1923,la boucherie (parent),0.06744942193985624
71670,credit agricole,351053,casilca,0.06682339737617057
82137,suez,86551,dalkia (edf),0.06654966695596193
320516,lisi automotive,94442,lisi aerospace,0.06626375498628817
121358,daroco,1150,daroco,0.06438065763817928
176688,verescence,33132,verescence,0.0637498947461782
56829,getpro,9664,getpro,0.06312142048452926
350875,rakuten,296716,rakuten aquafadas,0.06260274442816752
186532,ldc,35763,ldc,0.06255389191456404
48053,leaderstrip.fr,176216,leaderstrip,0.06227718517400022
318239,lvmh  marc jacobs,179009,lvmh,0.06068071874316272
82897,qvc france,331572,qvc,0.06062884873984411
317615,harmonie mutuelle,352362,harmonie mutuelle,0.06037320391548419
317521,bnp paribas personal finance france,321717,bnp paribas ifs,0.05967394321269818
39726,ficogex sa,204203,ficogex,0.05907533616744742
99065,coty,103976,coty inc,0.05816434225080368
42685,universcience,68080,inrs,0.05485733777483794
177175,aeroport de paris,321354,geneve aeroport,0.05452976006027114
318117,natixis,321331,natixis sfs,0.051516338500587205
321925,lvmh  fragrance brands,179009,lvmh,0.051409455180248316
227904,pivotal software,182490,dimo software,0.051409455180248316
331755,google,79926,google france,0.05059451555104474
72453,oodrive,178037,oodrive,0.05012833309522986
342438,bpce sa,310651,bpce,0.04953411592552367
175059,lagardère travel retail,34566,lagardere,0.04856840313675001
1203,del arte  alençon,146928,del arte,0.04777978194669515
80920,accenture interactive uk,86571,contentsquare uk,0.04717170114639861
181940,adisseo,283778,bluestar adisseo nutrition group ltd (1095),0.046299171626213616
82881,leclerc,255559,galec,0.04472299893862505
311955,crédit agricole loire haute loire,176954,crédit agricole idf,0.044291428889385184
179299,gan,321751,gan prevoyance,0.04346836883724356
180318,sodexo groupe,320942,sodexo france,0.04328564250690316
195765,deloitte australia,43224,origin energy,0.043275207353661284
318115,groupe bnp paribas,331827,bnp paribas group,0.03934337590582218
322078,le figaro,345057,societe du figaro,0.039163368246300255
98846,claire s inc.,73382,claire s inc.,0.03895422410219558
321378,thales services,174255,kelly services,0.03604619375503005
80161,boxtal,330588,boxtal,0.03580759639469364
120118,la boucherie,2079,la boucherie saintdizier,0.035419960351632064
